Cycle,Time (real),Time (simulation),Agent,Station,Start Time,End Time,Duration,Start Battery,End Battery
490,2021-08-28 19:46:48,22050.0,bike79,chargingStation(0),22005.0,22050.0,45.0,24.867142078146216,100.0
492,2021-08-28 19:46:49,22140.0,bike8,chargingStation(0),22095.0,22140.0,45.0,24.63044170931942,100.0
496,2021-08-28 19:46:52,22320.0,bike74,chargingStation(1),22275.0,22320.0,45.0,24.947521434695453,100.0
496,2021-08-28 19:46:52,22320.0,bike113,chargingStation(1),22275.0,22320.0,45.0,23.816348610282272,100.0
500,2021-08-28 19:46:54,22500.0,bike117,chargingStation(1),22455.0,22500.0,45.0,24.489816436624892,100.0
503,2021-08-28 19:46:56,22635.0,bike129,chargingStation(1),22590.0,22635.0,45.0,24.664019376433547,100.0
504,2021-08-28 19:46:56,22680.0,bike16,chargingStation(1),22635.0,22680.0,45.0,23.508950724792424,100.0
505,2021-08-28 19:46:57,22725.0,bike50,chargingStation(1),22680.0,22725.0,45.0,24.388306777542425,100.0
506,2021-08-28 19:46:57,22770.0,bike109,chargingStation(1),22725.0,22770.0,45.0,23.998289165823124,100.0
509,2021-08-28 19:46:59,22905.0,bike61,chargingStation(0),22860.0,22905.0,45.0,24.607399010219982,100.0
509,2021-08-28 19:46:59,22905.0,bike103,chargingStation(1),22860.0,22905.0,45.0,24.36371845737663,100.0
516,2021-08-28 19:47:02,23220.0,bike24,chargingStation(0),23175.0,23220.0,45.0,24.38311236961524,100.0
518,2021-08-28 19:47:03,23310.0,bike41,chargingStation(1),23265.0,23310.0,45.0,24.74591368846825,100.0
518,2021-08-28 19:47:04,23310.0,bike127,chargingStation(0),23265.0,23310.0,45.0,24.258646680172568,100.0
519,2021-08-28 19:47:04,23355.0,bike6,chargingStation(0),23310.0,23355.0,45.0,24.07752976025739,100.0
522,2021-08-28 19:47:06,23490.0,bike96,chargingStation(0),23445.0,23490.0,45.0,24.403826659648814,100.0
524,2021-08-28 19:47:07,23580.0,bike100,chargingStation(0),23535.0,23580.0,45.0,24.680039605552775,100.0
528,2021-08-28 19:47:09,23760.0,bike40,chargingStation(1),23715.0,23760.0,45.0,24.279708357421754,100.0
529,2021-08-28 19:47:09,23805.0,bike19,chargingStation(1),23760.0,23805.0,45.0,24.514401128106417,100.0
531,2021-08-28 19:47:10,23895.0,bike119,chargingStation(0),23850.0,23895.0,45.0,24.134899600148977,100.0
532,2021-08-28 19:47:11,23940.0,bike107,chargingStation(0),23895.0,23940.0,45.0,23.605667665613357,100.0
538,2021-08-28 19:47:14,24210.0,bike52,chargingStation(1),24165.0,24210.0,45.0,23.786236126919256,100.0
539,2021-08-28 19:47:14,24255.0,bike69,chargingStation(0),24210.0,24255.0,45.0,23.62630892237919,100.0
541,2021-08-28 19:47:15,24345.0,bike70,chargingStation(1),24300.0,24345.0,45.0,24.3682557010701,100.0
543,2021-08-28 19:47:16,24435.0,bike65,chargingStation(1),24390.0,24435.0,45.0,24.20013265086361,100.0
545,2021-08-28 19:47:17,24525.0,bike2,chargingStation(0),24480.0,24525.0,45.0,23.357787732633923,100.0
546,2021-08-28 19:47:18,24570.0,bike55,chargingStation(1),24525.0,24570.0,45.0,24.36098634979003,100.0
547,2021-08-28 19:47:18,24615.0,bike93,chargingStation(1),24570.0,24615.0,45.0,23.663930758482223,100.0
548,2021-08-28 19:47:19,24660.0,bike81,chargingStation(0),24615.0,24660.0,45.0,24.600448181392725,100.0
548,2021-08-28 19:47:19,24660.0,bike126,chargingStation(0),24615.0,24660.0,45.0,24.553705434014944,100.0
552,2021-08-28 19:47:21,24840.0,bike7,chargingStation(0),24795.0,24840.0,45.0,23.512468035470363,100.0
553,2021-08-28 19:47:21,24885.0,bike86,chargingStation(0),24840.0,24885.0,45.0,23.166891384837303,100.0
553,2021-08-28 19:47:21,24885.0,bike110,chargingStation(1),24840.0,24885.0,45.0,24.09961629423128,100.0
558,2021-08-28 19:47:23,25110.0,bike0,chargingStation(1),25065.0,25110.0,45.0,24.43141722257034,100.0
559,2021-08-28 19:47:24,25155.0,bike15,chargingStation(0),25110.0,25155.0,45.0,24.633558477917596,100.0
560,2021-08-28 19:47:24,25200.0,bike121,chargingStation(0),25155.0,25200.0,45.0,24.54090126318832,100.0
561,2021-08-28 19:47:25,25245.0,bike12,chargingStation(1),25200.0,25245.0,45.0,24.508177765928473,100.0
561,2021-08-28 19:47:25,25245.0,bike131,chargingStation(0),25200.0,25245.0,45.0,24.534865152520112,100.0
562,2021-08-28 19:47:25,25290.0,bike18,chargingStation(1),25245.0,25290.0,45.0,24.11887806779568,100.0
562,2021-08-28 19:47:25,25290.0,bike106,chargingStation(0),25245.0,25290.0,45.0,24.26634556020916,100.0
562,2021-08-28 19:47:25,25290.0,bike132,chargingStation(1),25245.0,25290.0,45.0,24.465463852158866,100.0
563,2021-08-28 19:47:26,25335.0,bike23,chargingStation(1),25290.0,25335.0,45.0,23.733764354867986,100.0
567,2021-08-28 19:47:28,25515.0,bike35,chargingStation(1),25470.0,25515.0,45.0,24.35659795848077,100.0
