Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-11-02 19:54:33,0.0,bike49,idle,nil,nil,nil,36184,40000,false,tagRFID(269),tagRFID(314),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike48,awaiting_follower,nil,bike(0),nil,31802,40000,false,tagRFID(242),tagRFID(263),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike47,idle,nil,nil,nil,36158,40000,false,tagRFID(285),tagRFID(193),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike46,idle,nil,nil,nil,34017,40000,false,tagRFID(4),tagRFID(3),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike45,awaiting_follower,nil,bike(43),nil,31488,40000,false,tagRFID(190),tagRFID(154),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike44,idle,nil,nil,nil,36207,40000,false,tagRFID(250),tagRFID(246),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike43,seeking_leader,nil,nil,bike(45),39722,40000,false,tagRFID(155),tagRFID(153),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike42,idle,nil,nil,nil,37088,40000,false,tagRFID(139),tagRFID(138),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike41,seeking_leader,nil,nil,bike(9),38665,40000,false,tagRFID(75),tagRFID(200),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike40,idle,nil,nil,nil,36575,40000,false,tagRFID(231),tagRFID(65),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike39,awaiting_follower,nil,bike(28),nil,30704,40000,false,tagRFID(0),tagRFID(53),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike38,idle,nil,nil,nil,36196,40000,false,tagRFID(301),tagRFID(300),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike37,idle,nil,nil,nil,33220,40000,false,tagRFID(95),tagRFID(96),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike36,seeking_leader,nil,nil,bike(34),38726,40000,false,tagRFID(84),tagRFID(31),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike35,idle,nil,nil,nil,34720,40000,false,tagRFID(27),tagRFID(213),0.0,0.0,0.0
0,2021-11-02 19:54:33,0.0,bike34,idle,nil,bike(36),nil,32813,40000,false,tagRFID(241),tagRFID(32),0.0,0.0,0.0
