Cycle,Time (real),Time (simulation),Agent,Distance Traveled,Num Intersections
0,2021-11-04 15:49:25,0.0,bike0,48.64999999999997,1
0,2021-11-04 15:49:25,0.0,bike1,48.65000000000001,1
0,2021-11-04 15:49:25,0.0,bike2,48.65000000000005,1
0,2021-11-04 15:49:25,0.0,bike3,48.64999999999999,1
0,2021-11-04 15:49:25,0.0,bike4,48.64999999999998,2
0,2021-11-04 15:49:25,0.0,bike5,48.65000000000011,1
0,2021-11-04 15:49:25,0.0,bike6,48.650000000000006,1
0,2021-11-04 15:49:25,0.0,bike7,48.65000000000006,1
0,2021-11-04 15:49:25,0.0,bike8,48.65,2
0,2021-11-04 15:49:25,0.0,bike9,48.65000000000001,2
0,2021-11-04 15:49:25,0.0,bike10,48.65000000000001,1
0,2021-11-04 15:49:25,0.0,bike11,48.64999999999995,1
0,2021-11-04 15:49:25,0.0,bike12,48.6500000000001,1
0,2021-11-04 15:49:25,0.0,bike13,48.650000000000006,1
0,2021-11-04 15:49:25,0.0,bike14,48.65000000000009,1
0,2021-11-04 15:49:25,0.0,bike15,48.649999999999956,1
0,2021-11-04 15:49:25,0.0,bike16,48.65000000000001,1
0,2021-11-04 15:49:25,0.0,bike17,48.65000000000003,1
0,2021-11-04 15:49:25,0.0,bike18,48.650000000000006,1
0,2021-11-04 15:49:25,0.0,bike19,48.649999999999984,1
1,2021-11-04 15:49:26,35.0,bike0,48.649999999999956,1
1,2021-11-04 15:49:26,35.0,bike1,48.65000000000002,1
1,2021-11-04 15:49:26,35.0,bike2,48.649999999999956,0
1,2021-11-04 15:49:26,35.0,bike3,48.650000000000006,0
1,2021-11-04 15:49:26,35.0,bike4,48.649999999999984,1
1,2021-11-04 15:49:26,35.0,bike5,48.65000000000011,0
1,2021-11-04 15:49:26,35.0,bike6,48.64999999999991,1
1,2021-11-04 15:49:26,35.0,bike8,48.64999999999999,2
1,2021-11-04 15:49:26,35.0,bike9,48.650000000000006,0
1,2021-11-04 15:49:26,35.0,bike10,48.65000000000001,0
1,2021-11-04 15:49:26,35.0,bike11,48.64999999999995,0
1,2021-11-04 15:49:26,35.0,bike14,48.650000000000006,1
1,2021-11-04 15:49:26,35.0,bike15,48.65,1
1,2021-11-04 15:49:26,35.0,bike16,48.650000000000006,1
1,2021-11-04 15:49:26,35.0,bike18,48.650000000000034,1
1,2021-11-04 15:49:27,35.0,bike19,48.649999999999906,1
2,2021-11-04 15:49:27,70.0,bike0,48.65000000000001,0
2,2021-11-04 15:49:27,70.0,bike1,48.65000000000006,1
2,2021-11-04 15:49:28,70.0,bike2,48.65000000000003,0
2,2021-11-04 15:49:28,70.0,bike3,48.64999999999997,1
2,2021-11-04 15:49:28,70.0,bike4,48.64999999999999,1
2,2021-11-04 15:49:28,70.0,bike5,48.649999999999935,1
2,2021-11-04 15:49:28,70.0,bike6,48.65000000000004,0
2,2021-11-04 15:49:28,70.0,bike7,77.69999999999995,1
2,2021-11-04 15:49:28,70.0,bike8,48.65,2
2,2021-11-04 15:49:28,70.0,bike9,48.65000000000003,0
2,2021-11-04 15:49:28,70.0,bike10,48.650000000000006,0
2,2021-11-04 15:49:28,70.0,bike11,48.65000000000005,1
2,2021-11-04 15:49:28,70.0,bike13,77.70000000000002,1
2,2021-11-04 15:49:28,70.0,bike14,48.64999999999999,1
2,2021-11-04 15:49:28,70.0,bike15,48.65000000000003,1
2,2021-11-04 15:49:28,70.0,bike16,48.64999999999998,0
2,2021-11-04 15:49:28,70.0,bike18,48.65000000000003,0
2,2021-11-04 15:49:28,70.0,bike19,48.65000000000001,0
3,2021-11-04 15:49:28,105.0,bike0,48.64999999999999,0
3,2021-11-04 15:49:28,105.0,bike1,48.650000000000006,1
3,2021-11-04 15:49:28,105.0,bike2,48.649999999999984,1
3,2021-11-04 15:49:28,105.0,bike3,48.650000000000034,1
3,2021-11-04 15:49:28,105.0,bike4,48.649999999999984,0
3,2021-11-04 15:49:28,105.0,bike5,48.64999999999989,0
3,2021-11-04 15:49:28,105.0,bike6,48.65000000000004,0
3,2021-11-04 15:49:28,105.0,bike7,34.10342360522581,1
3,2021-11-04 15:49:28,105.0,bike8,48.64999999999999,0
3,2021-11-04 15:49:28,105.0,bike9,48.65000000000003,0
3,2021-11-04 15:49:28,105.0,bike10,48.650000000000006,0
3,2021-11-04 15:49:28,105.0,bike11,48.64999999999997,0
3,2021-11-04 15:49:29,105.0,bike13,77.69999999999996,1
3,2021-11-04 15:49:29,105.0,bike14,48.64999999999998,1
3,2021-11-04 15:49:29,105.0,bike15,48.64999999999999,1
3,2021-11-04 15:49:29,105.0,bike16,48.65000000000001,1
3,2021-11-04 15:49:29,105.0,bike19,48.65000000000006,1
4,2021-11-04 15:49:30,140.0,bike0,48.65000000000001,0
