Cycle,Time (real),Time (simulation),Agent,Start Time,End Time,Duration,Start Battery,End Battery
38,2021-11-04 16:09:26,1330.0,bike12,210.0,1330.0,1120.0,30152,31147
42,2021-11-04 16:09:33,1470.0,bike39,175.0,1470.0,1295.0,30076,31161
46,2021-11-04 16:09:41,1610.0,bike19,315.0,1610.0,1295.0,29863,30974
49,2021-11-04 16:09:46,1715.0,bike28,245.0,1715.0,1470.0,31568,32795
52,2021-11-04 16:09:51,1820.0,bike6,245.0,1820.0,1575.0,30881,32210
53,2021-11-04 16:09:53,1855.0,bike36,595.0,1855.0,1260.0,32885,33962
55,2021-11-04 16:09:57,1925.0,bike35,210.0,1925.0,1715.0,31658,33119
55,2021-11-04 16:09:57,1925.0,bike41,105.0,1925.0,1820.0,31688,33268
57,2021-11-04 16:10:00,1995.0,bike49,140.0,1995.0,1855.0,31431,33033
59,2021-11-04 16:10:03,2065.0,bike45,175.0,2065.0,1890.0,30895,32494
60,2021-11-04 16:10:05,2100.0,bike44,910.0,2100.0,1190.0,31339,32367
61,2021-11-04 16:10:07,2135.0,bike2,105.0,2135.0,2030.0,30343,32089
62,2021-11-04 16:10:08,2170.0,bike5,175.0,2170.0,1995.0,30696,32371
65,2021-11-04 16:10:12,2275.0,bike25,210.0,2275.0,2065.0,30304,32030
