id;the_geom;Number;Name;y;x;District;Public;Total dock;ML;MAP;LOT;Location;LandArea;LUCode;LUDesc;Category;ExistUnits;MixedUseTy;GQLodgingH;GradStuden;CondoFlag;TaxStatus;Shape_STAr;Shape_STLe
pruebaCorte-point.1;POINT (-71.129042 42.392766);M32036;Rindge Avenue - O'Neill Library;42.392766;-71.129042;Cambridge;Yes;19;197-4;197;4;66 RINDGE AVE;163411.00000000000;934;Public Schools;Education;0.00000000000;;;;;City NonTax;156182.58398400000;1594.59845613000
pruebaCorte-point.2;POINT (-71.13961272 42.38393225);M32057;Vassal Lane at Tobin/VLUS;42.38393225;-71.13961272;Cambridge;Yes;19;260-80;260;80;198 VASSAL LN;396959.00000000000;934;Public Schools;Education;0.00000000000;;;;;City NonTax;395234.98632800003;3005.04090650000
pruebaCorte-point.3;POINT (-71.116865 42.377945);M32023;Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St;42.377945;-71.116865;Cambridge;Yes;17;157-30;157;30;1525 MASSACHUSETTS AVE;1199401.00000000000;942;Private College;Higher Education;0.00000000000;;;;;Educ NonTax;1180901.02979000006;4972.64662138000
pruebaCorte-point.4;POINT (-71.114025 42.376369);M32021;Harvard University Gund Hall at Quincy St / Kirkland St;42.376369;-71.114025;Cambridge;Yes;15;143-20;143;20;42 QUINCY ST;79701.00000000000;942;Private College;Higher Education;0.00000000000;;;;;Educ NonTax;78995.12548829999;1224.96653529000
pruebaCorte-point.5;POINT (-71.104412 42.370803);M32026;359 Broadway - Broadway at Fayette Street;42.370803;-71.104412;Cambridge;Yes;23;114-130;114;130;353 BROADWAY;52595.00000000000;934;Public Schools;Education;0.00000000000;;;;;City NonTax;52336.08593750000;897.75638109100
pruebaCorte-point.6;POINT (-71.08043551 42.36161932);M32053;One Memorial Drive;42.36161932;-71.08043551;Cambridge;Yes;19;46-12;46;12;15 MEMORIAL DR;74252.00000000000;346;INV-OFFICE;Office;0.00000000000;;;;;;72617.98535160000;1338.60518984000
pruebaCorte-point.7;POINT (-71.08579015 42.36955298);M32065;Kennedy-Longfellow School 158 Spring St;42.36955298;-71.08579015;Cambridge;Yes;19;33-93;33;93;158 SPRING ST;91794.00000000000;934;Public Schools;Education;0.00000000000;;;;;City NonTax;93172.15991210000;1324.10316256000
pruebaCorte-point.8;POINT (-71.10394478 42.35560121);M32042;MIT Vassar St;42.35560121;-71.10394478;Cambridge;Yes;25;57-172;57;172;1 VASSAR ST;34103.00000000000;975;MBTA/Railroad;Transportation;0.00000000000;;;;;City NonTax;30291.01074220000;6641.97717251000
pruebaCorte-point.9;POINT (-71.09115601 42.36213123);M32005;MIT Stata Center at Vassar St / Main St;42.36213123;-71.09115601;Cambridge;Yes;35;52A-31;52A;31;71 VASSAR ST;102145.00000000000;942;Private College;Higher Education;0.00000000000;;;;;Educ NonTax;111268.18237300000;2733.52355547000
pruebaCorte-point.10;POINT (-71.08495474 42.36242784);M32004;Kendall T;42.36242784;-71.08495474;Cambridge;Yes;23;44-102;44;102;16 BROADWAY;19922.00000000000;920;Parklands;Public Open Space;0.00000000000;;;;;Authority NonTax;21743.74169920000;2292.95265938000
pruebaCorte-point.11;POINT (-71.08551858 42.36085937);M32071;MIT Hayward St at Amherst St;42.36085937;-71.08551858;Cambridge;Yes;27;48-159;48;159;292 MAIN ST;121625.00000000000;942;Private College;Higher Education;454.00000000000;;;YES;;Educ NonTax;123231.30761700000;1592.14379888000
pruebaCorte-point.12;POINT (-71.10129476 42.3595732);M32041;MIT Pacific St at Purrington St;42.3595732;-71.10129476;Cambridge;Yes;19;67-44;67;44;24 WAVERLY ST;138716.00000000000;9421;Private College Res Units;Education Residential;437.00000000000;;;YES;;Educ NonTax;139815.49682599999;1541.96269368000
pruebaCorte-point.13;POINT (-71.14347895 42.38267828);M32051;Fresh Pond Reservation;42.38267828;-71.14347895;Cambridge;Yes;17;266-34;266;34;250 FRESH POND PKWY;3233093.00000000000;920;Parklands;Public Open Space;0.00000000000;;;;;City NonTax;2982290.01904000016;18085.24385210000
pruebaCorte-point.14;POINT (-71.139459 42.396105);M32033;Alewife Station at Russell Field;42.396105;-71.139459;Cambridge;Yes;23;269-127;269;127;351 RINDGE AVE;33346.00000000000;975;MBTA/Railroad;Transportation;0.00000000000;;;;;State NonTax;32802.61279300000;761.07044139100
pruebaCorte-point.15;POINT (-71.119084 42.387995);M32029;Porter Square Station;42.387995;-71.119084;Cambridge;Yes;19;152-53;152;53;1853-1867 MASSACHUSETTS AVE;11227.00000000000;975;MBTA/Railroad;Transportation;0.00000000000;;;;;State NonTax;11435.21142580000;573.73594077300
pruebaCorte-point.16;POINT (-71.10015746 42.37438409);M32062;Inman Square at Springfield St.;42.37438409;-71.10015746;Cambridge;Yes;19;83-12;83;12;23 SPRINGFIELD ST;2872.00000000000;337;PARKING-LOT;Transportation;0.00000000000;;;;;City NonTax;3050.38232422000;281.15143431800
pruebaCorte-point.17;POINT (-71.143941 42.3936);M32058;84 Cambridgepark Dr;42.3936;-71.143941;Cambridge;Yes;25;265D-57;265D;57;88 CAMBRIDGEPARK DR;192403.00000000000;112;>8-UNIT-APT;Residential;254.00000000000;;;;;;191294.07714800001;2323.85856295000
pruebaCorte-point.18;POINT (-71.114214 42.366621);M32014;Harvard University Housing - 115 Putnam Ave at Peabody Terrace;42.366621;-71.114214;Cambridge;Yes;15;130-144;130;144;900 MEMORIAL DR;257503.00000000000;9421;Private College Res Units;Education Residential;244.00000000000;;;YES;;Educ NonTax;241711.22192400001;2966.10704990000
pruebaCorte-point.19;POINT (-71.076472 42.366981);M32019;CambridgeSide Galleria - CambridgeSide PL at Land Blvd;42.366981;-71.076472;Cambridge;Yes;15;8-89;8;89;100 CAMBRIDGESIDE PL;267821.00000000000;323;SH-CNTR/MALL;Commercial;0.00000000000;;;;;;289447.69213899999;3603.88956890000
pruebaCorte-point.20;POINT (-71.08277142 42.36544486);M32048;Third at Binney;42.36544486;-71.08277142;Cambridge;Yes;15;28-43;28;43;174 BINNEY ST;5550.00000000000;3922;CRMCL REC LND;Vacant Commercial;0.00000000000;;;;;Authority NonTax;5606.53491211000;390.39229196100
pruebaCorte-point.21;POINT (-71.07116282 42.36769018);M32045;Museum of Science;42.36769018;-71.07116282;Cambridge;Yes;19;9-90;9;90;2-14 MONSIGNOR OBRIEN HWY;184738.00000000000;956;Museums;Higher Education;0.00000000000;;;;;Other NonTax;196007.10839800001;1978.85845200000
pruebaCorte-point.22;POINT (-71.132788 42.388966);M32031;Danehy Park;42.388966;-71.132788;Cambridge;Yes;17;264-100;264;100;223 GARDEN ST;2177504.00000000000;920;Parklands;Public Open Space;0.00000000000;;;;;City NonTax;2169401.92089999979;9719.05827688000
pruebaCorte-point.23;POINT (-71.08669817 42.36054174);M32070;MIT Carleton St at Amherst St;42.36054174;-71.08669817;Cambridge;Yes;27;48-129;48;129;40 AMES ST;294691.00000000000;942;Private College;Higher Education;0.00000000000;;;;;Educ NonTax;294873.90380899998;2384.00735112000
pruebaCorte-point.24;POINT (-71.08216792 42.36356016);M32032;Kendall Street;42.36356016;-71.08216792;Cambridge;Yes;15;14-52;14;52;KENDALL ST;34820.00000000000;972;Road Right of Way;Transportation;0.00000000000;;;;;;34820.48168950000;1299.42310397000
pruebaCorte-point.25;POINT (-71.07249312 42.37150494);M32049;Child St at North St;42.37150494;-71.07249312;Cambridge;Yes;23;1A-206;1A;206;22R Charlestown Ave;1045894.00000000000;390;COM-DEV-LAND;Vacant Commercial;0.00000000000;;;;;;1009668.72339000006;8652.25088412000
