,activity_id,person_id,distance_meters,duration_seconds,mode,travel_purpose,previous_activity_type,start_time,start_local_hour,end_time,end_local_hour,origin_bgrp,origin_bgrp_lat,origin_bgrp_lng,destination_bgrp,destination_bgrp_lat,destination_bgrp_lng,vehicle_type,vehicle_fuel_type,vehicle_fuel_technology,start_within_boundary,start_datetime,start_timestamp
145,1992154201863980918,5697353533453183458,482.8020191848277,120,BIKING,SOCIAL,HOME,2019-10-10 00:09:44 America/New_York,0,2019-10-10 00:11:50 America/New_York,0,250173531022,42.3592,-71.0862,250173531022,42.3592,-71.0862,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:09:44,2019-10-10 00:09:44
146,16470504429416631333,13909775020437079368,160.93400239810347,0,BIKING,EAT,HOME,2019-10-10 00:09:46 America/New_York,0,2019-10-10 00:10:18 America/New_York,0,250173521021,42.3667,-71.0763,250173521021,42.3667,-71.0763,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:09:46,2019-10-10 00:09:46
159,13924007150255842368,3559003634996710318,160.93400239810347,0,BIKING,SOCIAL,HOME,2019-10-10 00:10:39 America/New_York,0,2019-10-10 00:11:07 America/New_York,0,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:10:39,2019-10-10 00:10:39
163,17021133011866336282,1241666303491223213,321.86800479620695,0,BIKING,SOCIAL,HOME,2019-10-10 00:10:39 America/New_York,0,2019-10-10 00:11:35 America/New_York,0,250173522001,42.3719,-71.0851,250173522001,42.3719,-71.0851,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:10:39,2019-10-10 00:10:39
172,1169133805667759291,8795327448502155487,160.93400239810347,120,BIKING,EAT,HOME,2019-10-10 00:10:45 America/New_York,0,2019-10-10 00:12:45 America/New_York,0,250173531022,42.3592,-71.0862,250173531022,42.3592,-71.0862,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:10:45,2019-10-10 00:10:45
176,17077340294823701790,8059304714022011475,160.93400239810347,0,BIKING,SOCIAL,HOME,2019-10-10 00:11:58 America/New_York,0,2019-10-10 00:12:20 America/New_York,0,250173522001,42.3719,-71.0851,250173522001,42.3719,-71.0851,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:11:58,2019-10-10 00:11:58
229,5183998200173137282,16566702513848682917,321.86800479620695,180,BIKING,SOCIAL,HOME,2019-10-10 00:13:49 America/New_York,0,2019-10-10 00:17:03 America/New_York,0,250173524002,42.3642,-71.0903,250173524002,42.3642,-71.0903,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:13:49,2019-10-10 00:13:49
270,2491215557348923361,4797865475085863871,643.7360095924139,120,BIKING,MAINTENANCE,HOME,2019-10-10 00:16:26 America/New_York,0,2019-10-10 00:18:41 America/New_York,0,250173521021,42.3667,-71.0763,250173523002,42.3654,-71.0811,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:16:26,2019-10-10 00:16:26
413,2462883077723776613,9853848698619554257,321.86800479620695,0,BIKING,SOCIAL,HOME,2019-10-10 00:25:55 America/New_York,0,2019-10-10 00:26:48 America/New_York,0,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:25:55,2019-10-10 00:25:55
539,13906646861791550421,12113463382597387268,160.93400239810347,0,BIKING,RECREATION,HOME,2019-10-10 00:41:53 America/New_York,0,2019-10-10 00:42:27 America/New_York,0,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 00:41:53,2019-10-10 00:41:53
727,16127944794753143771,11654169067407447793,482.8020191848277,60,BIKING,EAT,HOME,2019-10-10 01:12:47 America/New_York,1,2019-10-10 01:14:26 America/New_York,1,250173523002,42.3654,-71.0811,250173523002,42.3654,-71.0811,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:12:47,2019-10-10 01:12:47
743,10098465137308715411,15273759836287284888,321.86800479620695,60,BIKING,SHOP,HOME,2019-10-10 01:15:55 America/New_York,1,2019-10-10 01:17:40 America/New_York,1,250173526001,42.3696,-71.0897,250173526001,42.3696,-71.0897,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:15:55,2019-10-10 01:15:55
774,12835480981165667139,2410220805753310101,321.86800479620695,0,BIKING,SOCIAL,HOME,2019-10-10 01:19:41 America/New_York,1,2019-10-10 01:20:37 America/New_York,1,250173522001,42.3719,-71.0851,250173522001,42.3719,-71.0851,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:19:41,2019-10-10 01:19:41
783,15131352837148903816,7244083583611240955,321.86800479620695,60,BIKING,EAT,HOME,2019-10-10 01:19:41 America/New_York,1,2019-10-10 01:20:57 America/New_York,1,250173522001,42.3719,-71.0851,250173522001,42.3719,-71.0851,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:19:41,2019-10-10 01:19:41
789,6342284646766075124,7585419190941339281,160.93400239810347,0,BIKING,MAINTENANCE,HOME,2019-10-10 01:19:41 America/New_York,1,2019-10-10 01:20:17 America/New_York,1,250173523001,42.3678,-71.0855,250173521021,42.3667,-71.0763,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:19:41,2019-10-10 01:19:41
882,11994360892709750980,9360117476973816569,643.7360095924139,240,BIKING,EAT,HOME,2019-10-10 01:31:32 America/New_York,1,2019-10-10 01:35:39 America/New_York,1,250173521021,42.3667,-71.0763,250173521021,42.3667,-71.0763,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:31:32,2019-10-10 01:31:32
905,10096388499563505070,15778566042349420823,482.8020191848277,60,BIKING,SOCIAL,HOME,2019-10-10 01:33:53 America/New_York,1,2019-10-10 01:35:50 America/New_York,1,250173521021,42.3667,-71.0763,250173521021,42.3667,-71.0763,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:33:53,2019-10-10 01:33:53
926,10139659356316013274,16128418206829008265,160.93400239810347,0,BIKING,RECREATION,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:35:20 America/New_York,1,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
928,27965376083528976,16191835029422268462,160.93400239810347,0,BIKING,SOCIAL,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:35:23 America/New_York,1,250173522001,42.3719,-71.0851,250173522001,42.3719,-71.0851,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
947,3234605629546677555,11577452141333025605,482.8020191848277,60,BIKING,EAT,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:36:42 America/New_York,1,250173523002,42.3654,-71.0811,250173523002,42.3654,-71.0811,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
968,16869341648413067217,17836171812163818636,643.7360095924139,240,BIKING,EAT,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:39:13 America/New_York,1,250173531022,42.3592,-71.0862,250173531022,42.3592,-71.0862,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
986,56406554075107669,3431755455446803460,160.93400239810347,0,BIKING,RECREATION,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:35:04 America/New_York,1,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
990,13933517897496975766,11385205117903269205,160.93400239810347,0,BIKING,RECREATION,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:35:20 America/New_York,1,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
1009,9433578222793654111,4446608933414079472,643.7360095924139,120,BIKING,RECREATION,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:36:46 America/New_York,1,250173521021,42.3667,-71.0763,250173521021,42.3667,-71.0763,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
1010,5448240530262207931,6375716492408187343,482.8020191848277,120,BIKING,RECREATION,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:36:52 America/New_York,1,250173523002,42.3654,-71.0811,250173524002,42.3642,-71.0903,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
1038,13844537902991949965,15082798174457080341,160.93400239810347,0,BIKING,EAT,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:35:07 America/New_York,1,250173523002,42.3654,-71.0811,250173523002,42.3654,-71.0811,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
1040,346512630655817276,4074912035577569548,160.93400239810347,0,BIKING,EAT,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:35:17 America/New_York,1,250173522001,42.3719,-71.0851,250173522001,42.3719,-71.0851,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
1043,3523218667642387820,3017873470626949892,160.93400239810347,0,BIKING,SOCIAL,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:35:23 America/New_York,1,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
1055,15254916638192126360,7336883898925785310,482.8020191848277,60,BIKING,RECREATION,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:36:09 America/New_York,1,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
1073,6588927402618129377,3528648929723673111,160.93400239810347,120,BIKING,EAT,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:37:29 America/New_York,1,250173523002,42.3654,-71.0811,250173523002,42.3654,-71.0811,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
1077,16494180139001156327,3432658053416797377,804.67,360,BIKING,EAT,HOME,2019-10-10 01:34:43 America/New_York,1,2019-10-10 01:41:07 America/New_York,1,250173531022,42.3592,-71.0862,250173531022,42.3592,-71.0862,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:34:43,2019-10-10 01:34:43
1163,13184838860288348944,734030270594057583,482.8020191848277,60,BIKING,SOCIAL,HOME,2019-10-10 01:46:17 America/New_York,1,2019-10-10 01:48:04 America/New_York,1,250173521021,42.3667,-71.0763,250173521021,42.3667,-71.0763,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:46:17,2019-10-10 01:46:17
1294,1797464646696116360,6357690674073891061,160.93400239810347,0,BIKING,RECREATION,HOME,2019-10-10 01:58:29 America/New_York,1,2019-10-10 01:58:51 America/New_York,1,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 01:58:29,2019-10-10 01:58:29
1346,4096003614730327672,9040283301388543284,160.93400239810347,0,BIKING,SOCIAL,HOME,2019-10-10 02:00:52 America/New_York,2,2019-10-10 02:01:27 America/New_York,2,250173523001,42.3678,-71.0855,250173523001,42.3678,-71.0855,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 02:00:52,2019-10-10 02:00:52
1425,2067351713890529355,2206686994077994741,321.86800479620695,120,BIKING,SOCIAL,HOME,2019-10-10 02:12:15 America/New_York,2,2019-10-10 02:14:59 America/New_York,2,250173524002,42.3642,-71.0903,250173524002,42.3642,-71.0903,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 02:12:15,2019-10-10 02:12:15
1438,6738586357635163931,17182965370932414254,321.86800479620695,60,BIKING,SHOP,HOME,2019-10-10 02:12:15 America/New_York,2,2019-10-10 02:13:19 America/New_York,2,250173526001,42.3696,-71.0897,250173526001,42.3696,-71.0897,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 02:12:15,2019-10-10 02:12:15
1614,154817364622850418,15978986233425439338,160.93400239810347,0,BIKING,EAT,HOME,2019-10-10 02:43:13 America/New_York,2,2019-10-10 02:43:34 America/New_York,2,250173524001,42.3657,-71.0893,250173524001,42.3657,-71.0893,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 02:43:13,2019-10-10 02:43:13
1660,7540455550483261897,11222973790164918759,321.86800479620695,240,BIKING,EAT,HOME,2019-10-10 02:45:38 America/New_York,2,2019-10-10 02:49:49 America/New_York,2,250173523002,42.3654,-71.0811,250173523002,42.3654,-71.0811,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 02:45:38,2019-10-10 02:45:38
1665,4819709590983805484,5886342117678692430,321.86800479620695,120,BIKING,EAT,HOME,2019-10-10 02:45:38 America/New_York,2,2019-10-10 02:48:13 America/New_York,2,250173523002,42.3654,-71.0811,250173523002,42.3654,-71.0811,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 02:45:38,2019-10-10 02:45:38
1689,13509910133645646471,5868078127168315104,160.93400239810347,0,BIKING,MAINTENANCE,HOME,2019-10-10 02:47:48 America/New_York,2,2019-10-10 02:48:18 America/New_York,2,250173522001,42.3719,-71.0851,250173522001,42.3719,-71.0851,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 02:47:48,2019-10-10 02:47:48
1732,5380133252078641807,8059304714022011475,160.93400239810347,0,BIKING,HOME,EAT,2019-10-10 02:57:43 America/New_York,2,2019-10-10 02:58:06 America/New_York,2,250173522001,42.3719,-71.0851,250173522001,42.3719,-71.0851,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 02:57:43,2019-10-10 02:57:43
2276,6035103377480426895,9780489505626350631,160.93400239810347,0,BIKING,EAT,HOME,2019-10-10 03:44:00 America/New_York,3,2019-10-10 03:44:41 America/New_York,3,250173521022,42.3713,-71.0801,250173522001,42.3719,-71.0851,UNKNOWN_VEHICLE_TYPE,UNKNOWN_FUEL_TYPE,UNKNOWN_FUEL_TECHNOLOGY,False,2019-10-10 03:44:00,2019-10-10 03:44:00
