tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
597,2019-10-07 00:02:58.3520,2019-10-07 00:12:55.7150,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,4010,Subscriber,1997,1,4342,-71.08862548006081,42.36164777153959,2174,-71.0947177305539,42.349310669693494,178.0,775.0
942,2019-10-07 00:09:29.2490,2019-10-07 00:25:11.5830,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,409,Elm St at White St,42.38952436305763,-71.11694140364307,4482,Subscriber,1994,1,54628,-71.09488991022977,42.36670147508128,133422,-71.11617313250652,42.39190914242612,569.0,1511.0
4217,2019-10-07 00:11:19.1750,2019-10-07 01:21:36.4020,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,189,Kendall T,42.362427842912396,-71.08495473861693,4933,Subscriber,1982,0,245877,-71.08795596931938,42.36214775804637,245877,-71.08795596931938,42.36214775804637,679.0,4896.0
799,2019-10-07 00:11:37.2620,2019-10-07 00:24:56.6760,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,5474,Subscriber,1991,1,4323,-71.09477062896336,42.3590493371848,17132,-71.10936991805957,42.37286156651513,697.0,1496.0
785,2019-10-07 00:11:47.9830,2019-10-07 00:24:53.6750,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,6033,Subscriber,1988,1,201805,-71.0923991735748,42.35900790575149,16043,-71.1086498833975,42.371539003568834,707.0,1493.0
230,2019-10-07 00:18:09.0240,2019-10-07 00:21:59.9900,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,3723,Subscriber,1991,1,100939,-71.08088631118467,42.3636209969805,190221,-71.09328097165388,42.36546133302845,1089.0,1319.0
778,2019-10-07 00:25:48.6140,2019-10-07 00:38:46.8270,318,Ames St at Broadway,42.363692900000004,-71.0875672,79,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,3355,Subscriber,1995,1,259917,-71.08583953175258,42.36188828648814,6575,-71.10505210000001,42.37625549999999,1548.0,2326.0
490,2019-10-07 00:27:01.4520,2019-10-07 00:35:11.8160,185,Third at Binney,42.365444861373994,-71.0827714204788,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3084,Subscriber,1998,1,257060,-71.08308255000001,42.36418165,201811,-71.09044937799496,42.35955835402915,1621.0,2111.0
343,2019-10-07 00:27:26.6550,2019-10-07 00:33:10.0970,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,3797,Subscriber,1998,1,221,-71.09442545666069,42.357174559331405,259856,-71.09550292881782,42.34830542760538,1646.0,1990.0
199,2019-10-07 00:28:15.9520,2019-10-07 00:31:35.1180,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,2919,Subscriber,1994,1,154909,-71.09394940207649,42.36634362349,11194,-71.09582354420462,42.37189943073879,1695.0,1895.0
535,2019-10-07 00:35:51.2040,2019-10-07 00:44:46.6370,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,79,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,4868,Subscriber,1994,2,183198,-71.09095188589268,42.36820771832687,225234,-71.10902148528668,42.3787700272743,2151.0,2686.0
382,2019-10-07 00:41:35.8970,2019-10-07 00:47:58.5430,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,318,Ames St at Broadway,42.363692900000004,-71.0875672,3894,Subscriber,1991,1,4365,-71.09515103136056,42.359634377164696,69952,-71.08810426740658,42.36388695099609,2495.0,2878.0
1250,2019-10-07 00:46:28.9340,2019-10-07 01:07:19.8240,144,Rogers St & Land Blvd,42.36575798214837,-71.07699394226073,396,Main St at Beacon St,42.41072713868097,-71.06266822675025,3703,Customer,1987,1,208,-71.07629723964396,42.36802592649814,154701,-71.06027852005094,42.40931275108407,2788.0,4039.0
