string(self),string(self.stationCharging),self.chargingStartTime,time - self.chargingStartTime,time,self.batteryLifeBeginningCharge,(self.batteryLife / maxBatteryLife) * 100
bike(104),chargingStation(1),26520.0,120.0,26640.0,24.36993091083876,100.0
bike(116),chargingStation(0),28320.0,120.0,28440.0,23.871894719636284,100.0
bike(92),chargingStation(1),28920.0,120.0,29040.0,24.738021155046393,100.0
bike(128),chargingStation(1),28980.0,120.0,29100.0,24.394397885148823,100.0
bike(5),chargingStation(1),29040.0,120.0,29160.0,24.547996822371577,100.0
bike(108),chargingStation(1),29100.0,120.0,29220.0,24.02944354313059,100.0
bike(132),chargingStation(1),29100.0,120.0,29220.0,24.185233070284294,100.0
bike(43),chargingStation(1),29160.0,120.0,29280.0,23.938367187720893,100.0
bike(97),chargingStation(1),29160.0,120.0,29280.0,23.92354670344953,100.0
bike(21),chargingStation(1),29280.0,120.0,29400.0,24.375240979285305,100.0
bike(46),chargingStation(1),29280.0,120.0,29400.0,23.937075974688604,100.0
bike(113),chargingStation(1),29280.0,120.0,29400.0,23.383762974728022,100.0
bike(122),chargingStation(1),29280.0,120.0,29400.0,23.886611953784566,100.0
bike(63),chargingStation(1),29340.0,120.0,29460.0,24.137225525652866,100.0
bike(68),chargingStation(1),29340.0,120.0,29460.0,23.87606479809391,100.0
bike(56),chargingStation(1),29400.0,120.0,29520.0,23.134956527351765,100.0
bike(107),chargingStation(1),29400.0,120.0,29520.0,24.608325093343165,100.0
bike(126),chargingStation(1),29400.0,120.0,29520.0,23.774443665797683,100.0
bike(26),chargingStation(1),29460.0,120.0,29580.0,22.601846123019968,100.0
bike(19),chargingStation(1),29520.0,120.0,29640.0,23.342776433046662,100.0
bike(61),chargingStation(1),29520.0,120.0,29640.0,24.085832754367033,100.0
bike(87),chargingStation(0),29520.0,120.0,29640.0,23.410765901263638,100.0
bike(88),chargingStation(1),29520.0,120.0,29640.0,23.02421780412912,100.0
bike(91),chargingStation(0),29520.0,120.0,29640.0,23.02255959812433,100.0
bike(10),chargingStation(0),29580.0,120.0,29700.0,24.497303609591377,100.0
bike(84),chargingStation(1),29580.0,120.0,29700.0,23.476115991843116,100.0
bike(59),chargingStation(1),29640.0,120.0,29760.0,23.372816343363972,100.0
bike(30),chargingStation(0),29700.0,120.0,29820.0,23.190681490135603,100.0
bike(96),chargingStation(1),29700.0,120.0,29820.0,24.016068071239083,100.0
bike(119),chargingStation(1),29700.0,120.0,29820.0,22.81587510983059,100.0
bike(13),chargingStation(0),29760.0,120.0,29880.0,24.374990365982683,100.0
bike(48),chargingStation(0),29760.0,120.0,29880.0,22.7491260044424,100.0
bike(51),chargingStation(1),29760.0,120.0,29880.0,23.79740134420191,100.0
bike(57),chargingStation(1),29760.0,120.0,29880.0,24.033647982704935,100.0
bike(102),chargingStation(0),29760.0,120.0,29880.0,21.99997978256746,100.0
bike(133),chargingStation(1),29760.0,120.0,29880.0,24.034001991209173,100.0
bike(79),chargingStation(1),29820.0,120.0,29940.0,23.899716730788764,100.0
bike(86),chargingStation(1),29820.0,120.0,29940.0,24.432890069138317,100.0
bike(27),chargingStation(0),29880.0,120.0,30000.0,21.597853678679428,100.0
bike(49),chargingStation(1),29880.0,120.0,30000.0,23.31371209701582,100.0
