'Question1',string(self),distanceTraveled
Question1,bike(0),150.0
Question1,bike(1),149.99999999999997
Question1,bike(2),150.0
Question1,bike(3),147.2584191767118
Question1,bike(4),41.749679766673765
Question1,bike(0),150.0
Question1,bike(1),150.0
Question1,bike(2),141.56418391753257
Question1,bike(3),147.20768932582047
Question1,bike(4),149.99999999999997
Question1,bike(0),149.99999999999994
Question1,bike(1),150.00000000000003
Question1,bike(2),149.9999999999999
Question1,bike(3),42.81201397927452
Question1,bike(4),149.99999999999997
Question1,bike(0),149.99999999999994
Question1,bike(1),149.99999999999994
Question1,bike(2),102.42935703329782
Question1,bike(3),150.00000000000009
Question1,bike(4),149.99999999999997
Question1,bike(0),150.00000000000006
Question1,bike(1),149.99999999999994
Question1,bike(2),149.99999999999997
Question1,bike(3),150.0000000000001
Question1,bike(4),150.0
Question1,bike(0),149.99999999999994
Question1,bike(1),149.99999999999997
Question1,bike(2),150.00000000000006
Question1,bike(3),149.99999999999994
Question1,bike(4),126.12346210418355
Question1,bike(0),150.0
Question1,bike(1),150.0
Question1,bike(2),149.99999999999994
Question1,bike(3),139.21288427212622
Question1,bike(4),150.0
Question1,bike(0),149.99999999999991
Question1,bike(1),150.00000000000009
Question1,bike(2),150.0
Question1,bike(3),150.0000000000001
Question1,bike(4),150.0
Question1,bike(0),121.45922671202474
Question1,bike(1),150.00000000000003
Question1,bike(2),149.99999999999994
Question1,bike(3),149.99999999999997
Question1,bike(4),105.2428545345309
Question1,bike(0),150.0
Question1,bike(1),150.0
Question1,bike(2),149.99999999999997
Question1,bike(3),80.39355786393675
Question1,bike(4),150.0
Question1,bike(0),150.00000000000009
Question1,bike(1),150.0
Question1,bike(2),150.00000000000006
Question1,bike(3),149.9999999999999
Question1,bike(4),138.87434102037378
Question1,bike(0),150.0
Question1,bike(1),150.0
Question1,bike(2),58.98216231281366
Question1,bike(3),69.60644213606294
Question1,bike(4),150.00000000000003
Question1,bike(0),150.0000000000001
Question1,bike(1),150.0
Question1,bike(2),150.0000000000001
Question1,bike(3),149.99999999999991
Question1,bike(4),141.1044615572975
Question1,bike(0),150.00000000000003
Question1,bike(1),149.99999999999997
Question1,bike(2),150.00000000000006
Question1,bike(3),150.00000000000003
Question1,bike(4),150.0
Question1,bike(0),149.9999999999999
Question1,bike(1),150.0
Question1,bike(2),150.00000000000003
Question1,bike(3),150.0
Question1,bike(4),120.00385509609427
Question1,bike(0),150.0
Question1,bike(1),149.99999999999994
Question1,bike(2),150.0
Question1,bike(3),150.0
Question1,bike(4),128.49271310584905
Question1,bike(0),149.99999999999997
Question1,bike(1),150.0
Question1,bike(2),149.99999999999997
Question1,bike(3),149.99999999999986
Question1,bike(4),150.0
Question1,bike(0),149.99999999999994
Question1,bike(1),150.00000000000003
Question1,bike(2),149.99999999999991
Question1,bike(3),150.00000000000006
Question1,bike(4),150.0
Question1,bike(0),150.00000000000006
Question1,bike(1),148.53910362315048
Question1,bike(2),149.99999999999994
Question1,bike(3),150.0
Question1,bike(4),150.00000000000003
Question1,bike(0),150.00000000000003
Question1,bike(1),149.9999999999999
Question1,bike(2),147.87137233532343
Question1,bike(3),150.00000000000009
Question1,bike(4),133.2301718259286
Question1,bike(0),149.99999999999994
Question1,bike(1),149.9999999999999
Question1,bike(2),150.00000000000003
Question1,bike(3),150.00000000000003
Question1,bike(4),150.0
Question1,bike(0),150.0
Question1,bike(1),149.99998930503486
Question1,bike(2),150.0
Question1,bike(3),150.00000000000003
Question1,bike(4),150.0
Question1,bike(0),150.0
Question1,bike(1),149.9999999999999
Question1,bike(2),150.00000000000009
Question1,bike(3),98.36235760409146
Question1,bike(4),150.0
Question1,bike(0),149.99993519813256
Question1,bike(1),150.0000000000001
Question1,bike(2),150.00000000000006
Question1,bike(3),150.0000000000001
Question1,bike(4),149.09765551592398
Question1,bike(0),150.0
Question1,bike(1),150.0000000000001
Question1,bike(2),150.0000000000001
Question1,bike(3),149.99999999999997
Question1,bike(4),150.0
Question1,bike(0),149.99999999999997
Question1,bike(1),150.0000000000001
Question1,bike(2),101.93656950037824
Question1,bike(3),57.05096679766307
Question1,bike(4),150.00000000000003
Question1,bike(0),149.99999999999997
Question1,bike(1),150.0000000000001
Question1,bike(2),150.00000000000009
Question1,bike(3),150.00000000000009
Question1,bike(4),150.00000000000003
Question1,bike(0),149.99999999999994
Question1,bike(1),150.0000000000001
Question1,bike(2),150.00000000000009
Question1,bike(3),138.5259686346987
Question1,bike(4),150.00000000000003
Question1,bike(0),150.00000000000003
Question1,bike(1),150.0000000000001
Question1,bike(2),149.99999999999994
Question1,bike(3),150.0
Question1,bike(4),88.59914155311229
Question1,bike(0),150.0
Question1,bike(1),150.0000000000001
Question1,bike(2),149.99999999999994
Question1,bike(3),149.9999999999999
Question1,bike(4),149.99999999999997
Question1,bike(0),150.0
Question1,bike(1),150.0
Question1,bike(2),149.99999999999994
Question1,bike(3),149.99999999999994
Question1,bike(4),131.54874645774163
Question1,bike(0),150.00000000000003
Question1,bike(1),150.0
Question1,bike(2),74.97919124645304
Question1,bike(3),79.24191892247512
Question1,bike(4),140.22044488262878
Question1,bike(0),150.00000000000003
Question1,bike(1),149.99999999999994
Question1,bike(2),150.00000000000003
Question1,bike(3),150.00000000000009
Question1,bike(4),149.99999999999997
Question1,bike(0),150.00000000000006
Question1,bike(1),150.0
Question1,bike(2),149.99999999999986
Question1,bike(3),150.0
Question1,bike(4),149.99999999999997
Question1,bike(0),149.99999999999994
Question1,bike(1),150.0
Question1,bike(2),138.2188684065385
Question1,bike(3),150.0
Question1,bike(4),150.0
Question1,bike(0),150.0
Question1,bike(1),111.42198603385857
Question1,bike(2),149.99999999999997
Question1,bike(3),149.99999999999994
Question1,bike(4),150.00000000000006
Question1,bike(0),150.0000000000001
Question1,bike(1),149.99999999999997
Question1,bike(2),149.99999999999997
Question1,bike(3),150.0
Question1,bike(4),150.0
Question1,bike(0),150.00000000000006
Question1,bike(1),149.99999999999997
Question1,bike(2),149.99999999999997
Question1,bike(3),149.99999999999994
Question1,bike(4),150.00000000000003
Question1,bike(0),150.0
Question1,bike(1),150.00000000000003
Question1,bike(2),149.99999999999997
Question1,bike(3),150.00000000000006
Question1,bike(4),150.0
Question1,bike(0),150.0
Question1,bike(1),149.99999999999994
Question1,bike(2),149.99999999999997
Question1,bike(3),149.99999999999997
